Episode_No_In_Season,Title,Directed_By,Written_By,Original_Air_Date,US_Viewers_Million,Original_Air_Date_Year
1,"""Winter Is Coming""",Tim Van Patten,David Benioff & D. B. Weiss,"April 17, 2011 (2011-04-17)",2.22,2011
2,"""The Kingsroad""",Tim Van Patten,David Benioff & D. B. Weiss,"April 24, 2011 (2011-04-24)",2.20,2011
3,"""Lord Snow""",Brian Kirk,David Benioff & D. B. Weiss,"May 1, 2011 (2011-05-01)",2.44,2011
4,"""Cripples, Bastards, and Broken Things""",Brian Kirk,Bryan Cogman,"May 8, 2011 (2011-05-08)",2.45,2011
5,"""The Wolf and the Lion""",Brian Kirk,David Benioff & D. B. Weiss,"May 15, 2011 (2011-05-15)",2.58,2011
6,"""A Golden Crown""",Daniel Minahan,Story by : David Benioff & D. B. Weiss Teleplay by : Jane Espenson and David Benioff & D. B. Weiss,"May 22, 2011 (2011-05-22)",2.44,2011
7,"""You Win or You Die""",Daniel Minahan,David Benioff & D. B. Weiss,"May 29, 2011 (2011-05-29)",2.40,2011
8,"""The Pointy End""",Daniel Minahan,George R. R. Martin,"June 5, 2011 (2011-06-05)",2.72,2011
9,"""Baelor""",Alan Taylor,David Benioff & D. B. Weiss,"June 12, 2011 (2011-06-12)",2.66,2011
10,"""Fire and Blood""",Alan Taylor,David Benioff & D. B. Weiss,"June 19, 2011 (2011-06-19)",3.04,2011
1,"""The North Remembers""",Alan Taylor,David Benioff & D. B. Weiss,"April 1, 2012 (2012-04-01)",3.86,2012
2,"""The Night Lands""",Alan Taylor,David Benioff & D. B. Weiss,"April 8, 2012 (2012-04-08)",3.76,2012
3,"""What Is Dead May Never Die""",Alik Sakharov,Bryan Cogman,"April 15, 2012 (2012-04-15)",3.77,2012
4,"""Garden of Bones""",David Petrarca,Vanessa Taylor,"April 22, 2012 (2012-04-22)",3.65,2012
5,"""The Ghost of Harrenhal""",David Petrarca,David Benioff & D. B. Weiss,"April 29, 2012 (2012-04-29)",3.90,2012
6,"""The Old Gods and the New""",David Nutter,Vanessa Taylor,"May 6, 2012 (2012-05-06)",3.88,2012
7,"""A Man Without Honor""",David Nutter,David Benioff & D. B. Weiss,"May 13, 2012 (2012-05-13)",3.69,2012
8,"""The Prince of Winterfell""",Alan Taylor,David Benioff & D. B. Weiss,"May 20, 2012 (2012-05-20)",3.86,2012
9,"""Blackwater""",Neil Marshall,George R. R. Martin,"May 27, 2012 (2012-05-27)",3.38,2012
10,"""Valar Morghulis""",Alan Taylor,David Benioff & D. B. Weiss,"June 3, 2012 (2012-06-03)",4.20,2012
1,"""Valar Dohaeris""",Daniel Minahan,David Benioff & D. B. Weiss,"March 31, 2013 (2013-03-31)",4.37,2013
2,"""Dark Wings, Dark Words""",Daniel Minahan,Vanessa Taylor,"April 7, 2013 (2013-04-07)",4.27,2013
3,"""Walk of Punishment""",David Benioff,David Benioff & D. B. Weiss,"April 14, 2013 (2013-04-14)",4.72,2013
4,"""And Now His Watch Is Ended""",Alex Graves,David Benioff & D. B. Weiss,"April 21, 2013 (2013-04-21)",4.87,2013
5,"""Kissed by Fire""",Alex Graves,Bryan Cogman,"April 28, 2013 (2013-04-28)",5.35,2013
6,"""The Climb""",Alik Sakharov,David Benioff & D. B. Weiss,"May 5, 2013 (2013-05-05)",5.50,2013
7,"""The Bear and the Maiden Fair""",Michelle MacLaren,George R. R. Martin,"May 12, 2013 (2013-05-12)",4.84,2013
8,"""Second Sons""",Michelle MacLaren,David Benioff & D. B. Weiss,"May 19, 2013 (2013-05-19)",5.13,2013
9,"""The Rains of Castamere""",David Nutter,David Benioff & D. B. Weiss,"June 2, 2013 (2013-06-02)",5.22,2013
10,"""Mhysa""",David Nutter,David Benioff & D. B. Weiss,"June 9, 2013 (2013-06-09)",5.39,2013
1,"""Two Swords""",D. B. Weiss,David Benioff & D. B. Weiss,"April 6, 2014 (2014-04-06)",6.64,2014
2,"""The Lion and the Rose""",Alex Graves,George R. R. Martin,"April 13, 2014 (2014-04-13)",6.31,2014
3,"""Breaker of Chains""",Alex Graves,David Benioff & D. B. Weiss,"April 20, 2014 (2014-04-20)",6.59,2014
4,"""Oathkeeper""",Michelle MacLaren,Bryan Cogman,"April 27, 2014 (2014-04-27)",6.95,2014
5,"""First of His Name""",Michelle MacLaren,David Benioff & D. B. Weiss,"May 4, 2014 (2014-05-04)",7.16,2014
6,"""The Laws of Gods and Men""",Alik Sakharov,Bryan Cogman,"May 11, 2014 (2014-05-11)",6.40,2014
7,"""Mockingbird""",Alik Sakharov,David Benioff & D. B. Weiss,"May 18, 2014 (2014-05-18)",7.20,2014
8,"""The Mountain and the Viper""",Alex Graves,David Benioff & D. B. Weiss,"June 1, 2014 (2014-06-01)",7.17,2014
9,"""The Watchers on the Wall""",Neil Marshall,David Benioff & D. B. Weiss,"June 8, 2014 (2014-06-08)",6.95,2014
10,"""The Children""",Alex Graves,David Benioff & D. B. Weiss,"June 15, 2014 (2014-06-15)",7.09,2014
1,"""The Wars to Come""",Michael Slovis,David Benioff & D. B. Weiss,"April 12, 2015 (2015-04-12)",8.00,2015
2,"""The House of Black and White""",Michael Slovis,David Benioff & D. B. Weiss,"April 19, 2015 (2015-04-19)",6.81,2015
3,"""High Sparrow""",Mark Mylod,David Benioff & D. B. Weiss,"April 26, 2015 (2015-04-26)",6.71,2015
4,"""Sons of the Harpy""",Mark Mylod,Dave Hill,"May 3, 2015 (2015-05-03)",6.82,2015
5,"""Kill the Boy""",Jeremy Podeswa,Bryan Cogman,"May 10, 2015 (2015-05-10)",6.56,2015
6,"""Unbowed, Unbent, Unbroken""",Jeremy Podeswa,Bryan Cogman,"May 17, 2015 (2015-05-17)",6.24,2015
7,"""The Gift""",Miguel Sapochnik,David Benioff & D. B. Weiss,"May 24, 2015 (2015-05-24)",5.40,2015
8,"""Hardhome""",Miguel Sapochnik,David Benioff & D. B. Weiss,"May 31, 2015 (2015-05-31)",7.01,2015
9,"""The Dance of Dragons""",David Nutter,David Benioff & D. B. Weiss,"June 7, 2015 (2015-06-07)",7.14,2015
10,"""Mother's Mercy""",David Nutter,David Benioff & D. B. Weiss,"June 14, 2015 (2015-06-14)",8.11,2015
1,"""The Red Woman""",Jeremy Podeswa,David Benioff & D. B. Weiss,"April 24, 2016 (2016-04-24)",7.94,2016
2,"""Home""",Jeremy Podeswa,Dave Hill,"May 1, 2016 (2016-05-01)",7.29,2016
3,"""Oathbreaker""",Daniel Sackheim,David Benioff & D. B. Weiss,"May 8, 2016 (2016-05-08)",7.28,2016
4,"""Book of the Stranger""",Daniel Sackheim,David Benioff & D. B. Weiss,"May 15, 2016 (2016-05-15)",7.82,2016
5,"""The Door""",Jack Bender,David Benioff & D. B. Weiss,"May 22, 2016 (2016-05-22)",7.89,2016
6,"""Blood of My Blood""",Jack Bender,Bryan Cogman,"May 29, 2016 (2016-05-29)",6.71,2016
7,"""The Broken Man""",Mark Mylod,Bryan Cogman,"June 5, 2016 (2016-06-05)",7.80,2016
8,"""No One""",Mark Mylod,David Benioff & D. B. Weiss,"June 12, 2016 (2016-06-12)",7.60,2016
9,"""Battle of the Bastards""",Miguel Sapochnik,David Benioff & D. B. Weiss,"June 19, 2016 (2016-06-19)",7.66,2016
10,"""The Winds of Winter""",Miguel Sapochnik,David Benioff & D. B. Weiss,"June 26, 2016 (2016-06-26)",8.89,2016
1,"""Dragonstone""",Jeremy Podeswa,David Benioff & D. B. Weiss,"July 16, 2017 (2017-07-16)",10.11,2017
2,"""Stormborn""",Mark Mylod,Bryan Cogman,"July 23, 2017 (2017-07-23)",9.27,2017
3,"""The Queen's Justice""",Mark Mylod,David Benioff & D. B. Weiss,"July 30, 2017 (2017-07-30)",9.25,2017
4,"""The Spoils of War""",Matt Shakman,David Benioff & D. B. Weiss,"August 6, 2017 (2017-08-06)",10.17,2017
5,"""Eastwatch""",Matt Shakman,Dave Hill,"August 13, 2017 (2017-08-13)",10.72,2017
6,"""Beyond the Wall""",Alan Taylor,David Benioff & D. B. Weiss,"August 20, 2017 (2017-08-20)",10.24,2017
7,"""The Dragon and the Wolf""",Jeremy Podeswa,David Benioff & D. B. Weiss,"August 27, 2017 (2017-08-27)",12.07,2017
1,"""Winterfell""",David Nutter,Dave Hill,"April 14, 2019 (2019-04-14)",11.76,2019
2,"""A Knight of the Seven Kingdoms""",David Nutter,Bryan Cogman,"April 21, 2019 (2019-04-21)",10.29,2019
3,"""The Long Night""",Miguel Sapochnik,David Benioff & D. B. Weiss,"April 28, 2019 (2019-04-28)",12.02,2019
4,"""The Last of the Starks""",David Nutter,David Benioff & D. B. Weiss,"May 5, 2019 (2019-05-05)",11.80,2019
5,"""The Bells""",Miguel Sapochnik,David Benioff & D. B. Weiss,"May 12, 2019 (2019-05-12)",12.48,2019
6,"""The Iron Throne""",David Benioff & D. B. Weiss,David Benioff & D. B. Weiss,"May 19, 2019 (2019-05-19)",13.61,2019
